Column 1,Score = 81,Evidence,Observations
Video,3,https://www.youtube.com/watch?v=133EWUQWe5Q,
Workload spread - Contributions,3,https://github.com/pnprathima/Recipe_Recommender/graphs/contributors,
Number of commits,3,https://github.com/pnprathima/Recipe_Recommender/graphs/commit-activity,
Number of commits: by different people,3,commits made by all team members,
Issues reports,3,https://github.com/pnprathima/Recipe_Recommender/issues,
Isuues being closed,3,https://github.com/pnprathima/Recipe_Recommender/issues?q=is%3Aissue+is%3Aclosed,
DOI badge: exists,3,https://github.com/pnprathima/Recipe_Recommender,
"Docs: doco generated, format not ugly",3,https://github.com/pnprathima/Recipe_Recommender/blob/master/README.md,
Docs: what: point descriptions of each class/function (in isolation),3,https://github.com/pnprathima/Recipe_Recommender/blob/master/README.md,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,,
Use of version control tools,3,,
Use of style checkers,3,,
Use of code formatters,3,https://github.com/pnprathima/Recipe_Recommender,Prettier tag
Use of syntax checkers,3,https://github.com/pnprathima/Recipe_Recommender,
Use of code coverage,3,https://github.com/pnprathima/Recipe_Recommender,Codecov tag
Other automated analysis tools,3,,CI/CD tag
Test cases exist,3,,
Test cases are routinely executed,3,,
CONTRIBUTING.md coding standards,3,,
Issues are discussed before they are closed,3,,
Chat channel: exists,3,https://discord.com/channels/1145839049509179544/1175496956655698001,
Test cases: a large proportion of the issues related to handling failing cases.,3,,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people.",3,,There are contributions made by different people to the repo indicating that the same tools were used in order to get the local feature branches working
Evidence that the members of the team are working across multiple places in the code base,3,,
Short release cycles,3,https://github.com/pnprathima/Recipe_Recommender/releases,
,,,
Q1 - What your software does,,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/pnprathima/Recipe_Recommender#readme,
Does your website and documentation clearly describe the type of user who should use your software?,Yes,,
Do you publish case studies to show how your software has been used by yourself and others?,Yes,https://youtu.be/133EWUQWe5Q,
,,,
Q2 - Your project's and software's identity,,,
Is the name of your project/software unique?,Yes,,
Is your project/software name free from trademark violations?,No,,
,,,
Q3 - Availability of your software,,,
Is your software available as a package that can be deployed without building it?,No,,
Is your software available for free?,Yes,,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,https://github.com/pnprathima/Recipe_Recommender.git,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,https://github.com/pnprathima/Recipe_Recommender,
,,,
Q4 - Your software's documentation,,,
Is your documentation clearly available on your website or within your software?,Yes,,
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,,
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",No,,README defines clearly how to execute and use the software
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,Yes,https://github.com/pnprathima/Recipe_Recommender#troubleshooting-and-support,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,,
Do you store your documentation under revision control with your source code?,Yes,,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,Version and release notes are present for each release,
,,,
Q5 - How you support your software,,,
Does your software describe how a user can get help with using your software?,Yes,https://github.com/pnprathima/Recipe_Recommender#troubleshooting-and-support,
"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,https://github.com/pnprathima/Recipe_Recommender#troubleshooting-and-support,
Does your project have an e-mail address or forum that is solely for supporting users?,Yes,https://github.com/pnprathima/Recipe_Recommender#troubleshooting-and-support,
Are e-mails to your support e-mail address received by more than one person?,Yes,,
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,https://github.com/pnprathima/Recipe_Recommender/issues?q=is%3Aissue+is%3Aclosed,
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,https://github.com/users/pnprathima/projects/3,
,,,
Q6 - Your software's maintainability,,,
Is your software’s architecture and design modular?,Yes,,
Does your software use an accepted coding standard or convention?,Yes,,
,,,
Q7 - Open standards and your software,,,
"Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Yes,,The project accepts images and videos for the recipe
